feature,importance,rank,importance_pct
twp90_lag_1,0.32066917,1,0.32066917
x8_ldr_pct,0.20265718,2,0.20265718
twp90_lag_2,0.19650847,3,0.19650847
x5_penetrasi_internet_pct,0.039631855,4,0.039631855
x9_npl_ratio,0.037471186,5,0.037471186
twp90_lag_3,0.020196745,6,0.020196745
x7_jumlah_kc_bank,0.016496366,7,0.016496366
provinsi_id,0.0139400605,8,0.0139400605
x10_rasio_umkm,0.012486644,9,0.012486644
log_tabungan,0.012410036,10,0.012410036
x4_tpt_pct,0.011054051,11,0.011054051
x3_pdrb_per_kapita,0.010831632,12,0.010831632
twp90_lag_6,0.010290355,13,0.010290355
bulan_cos,0.010157833,14,0.010157833
log_pdrb,0.009812734,15,0.009812734
time_trend,0.009557785,16,0.009557785
bulan_sin,0.008539839,17,0.008539839
x6_tabungan_miliar,0.008300225,18,0.008300225
x2_inflasi_yoy_lag_6,0.008194955,19,0.008194955
x1_bi_rate_pct_lag_6,0.00771113,20,0.00771113
x2_inflasi_yoy,0.0068868035,21,0.0068868035
x1_bi_rate_pct_lag_3,0.005523045,22,0.005523045
twp90_lag_12,0.0049687186,23,0.0049687186
x1_bi_rate_pct,0.0047182157,24,0.0047182157
x2_inflasi_yoy_lag_1,0.0046834266,25,0.0046834266
x2_inflasi_yoy_lag_3,0.004281443,26,0.004281443
x1_bi_rate_pct_lag_1,0.002020109,27,0.002020109
