provinsi_id,nama_provinsi,rmse_model,rmse_naive,beats_naive
2,Dki Jakarta,0.02981,0.02312,False
6,Jawa Timur,0.00747,0.00483,False
5,Daerah Istimewa Yogyakarta,0.00567,0.00571,True
27,Sulawesi Tenggara,0.0052,0.00076,False
28,Bali,0.00435,0.00394,False
22,Sulawesi Utara,0.00431,0.00304,False
29,Nusa Tenggara Barat,0.00402,0.00315,False
7,Aceh,0.00376,0.00406,True
3,Jawa Barat,0.00337,0.00266,False
1,Banten,0.00319,0.00348,True
9,Sumatera Barat,0.00315,0.00281,False
31,Maluku Utara,0.00306,0.00199,False
15,Bengkulu,0.00298,0.00187,False
4,Jawa Tengah,0.00296,0.00308,True
16,Lampung,0.00289,0.00286,False
30,Nusa Tenggara Timur,0.00289,0.00221,False
21,Kalimantan Selatan,0.00259,0.00203,False
18,Kalimantan Tengah,0.00259,0.00309,True
23,Gorontalo,0.00249,0.00227,False
8,Sumatera Utara,0.00248,0.00194,False
14,Sumatera Selatan,0.00229,0.00184,False
20,Kalimantan Timur,0.00223,0.00146,False
13,Jambi,0.00193,0.00205,True
11,Kepulauan Riau,0.0019,0.00152,False
17,Kalimantan Barat,0.0018,0.00176,False
32,Maluku,0.00171,0.00151,False
12,Kepulauan Bangka Belitung,0.00167,0.00178,True
10,Riau,0.00165,0.00137,False
24,Sulawesi Tengah,0.00165,0.00117,False
26,Sulawesi Selatan,0.0014,0.00093,False
25,Sulawesi Barat,0.00132,0.00222,True
