province_norm,ym,year,month,twp90_pct,x1_bi_rate_pct,x2_inflasi_mtom_pct,x3_pdrb_per_kapita,x4_tpt_pct,x5_penetrasi_internet_pct,x6_tabungan_miliar,x7_jumlah_kc_bank,x8_ldr_pct,x9_npl_ratio_pct,x10_rasio_umkm_pct,imputed_pdrb,imputed_tpt,imputed_internet,imputed_perbanking,source_missing_perbanking
aceh,2021-01,2021,1,0.005300,3.750000,,34674000.000000,,,38938.980000,62,,0.019400,0.065400,True,False,False,True,False
aceh,2021-02,2021,2,0.006500,3.500000,-0.736700,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-03,2021,3,0.007000,3.500000,-0.370000,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-04,2021,4,0.013400,3.500000,,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-05,2021,5,0.017100,3.500000,,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-06,2021,6,0.013800,3.500000,,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-07,2021,7,0.016900,3.500000,,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-08,2021,8,0.017300,3.500000,0.006700,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-09,2021,9,0.021800,3.500000,-0.293300,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-10,2021,10,0.030600,3.500000,0.483300,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-11,2021,11,0.032200,3.500000,0.723300,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2021-12,2021,12,0.031600,3.500000,0.713300,34674000.000000,6.300000,,38938.980000,62,,0.019400,0.065400,True,True,False,True,False
aceh,2022-01,2022,1,0.029100,3.500000,1.026700,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-02,2022,2,0.013700,3.500000,-0.733300,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-03,2022,3,0.013000,3.500000,0.710000,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-04,2022,4,0.010400,3.500000,1.233300,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-05,2022,5,0.011600,3.500000,1.070000,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-06,2022,6,0.013600,3.500000,0.846700,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-07,2022,7,0.012200,3.500000,0.856700,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-08,2022,8,0.014500,3.750000,-0.543300,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-09,2022,9,0.014100,4.250000,0.723300,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-10,2022,10,0.012900,4.750000,-0.086700,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-11,2022,11,0.014300,5.250000,-0.290000,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2022-12,2022,12,0.016400,5.500000,1.043300,38767000.000000,6.300000,0.681000,39252.830000,52,,0.015300,0.314700,True,True,True,True,False
aceh,2023-01,2023,1,0.011000,5.750000,0.706700,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-02,2023,2,0.013200,5.750000,0.490000,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-03,2023,3,0.013500,5.750000,-0.513300,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-04,2023,4,0.010200,5.750000,-0.313300,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-05,2023,5,0.015800,5.750000,0.406700,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-06,2023,6,0.013400,5.750000,0.200000,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-07,2023,7,0.019200,5.750000,0.160000,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-08,2023,8,0.010400,5.750000,-0.060000,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-09,2023,9,0.009200,5.750000,0.286700,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-10,2023,10,0.010300,6.000000,-0.020000,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-11,2023,11,0.010500,6.000000,0.263300,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2023-12,2023,12,0.010900,6.000000,-0.100000,41408000.000000,6.300000,0.678100,41485.840000,52,,0.015700,0.313900,True,True,True,True,False
aceh,2024-01,2024,1,0.010600,6.000000,0.021200,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-02,2024,2,0.011800,6.000000,0.023300,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-03,2024,3,0.012500,6.000000,0.032500,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-04,2024,4,0.007500,6.250000,0.031400,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-05,2024,5,0.009500,6.250000,0.033200,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-06,2024,6,0.012000,6.250000,0.030900,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-07,2024,7,0.007700,6.250000,0.025100,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-08,2024,8,0.007600,6.250000,0.022900,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-09,2024,9,0.008600,6.000000,0.015000,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
aceh,2024-10,2024,10,0.009700,6.000000,0.016900,43782000.000000,6.300000,0.759900,45184.400000,53,,0.017900,0.304200,True,True,True,True,False
